192.168.1.50 - - [03/Sep/2026:11:00:01 +0000] "GET /home HTTP/1.1" 200 4096 "-" "Mozilla/5.0" 12
203.0.113.45 - - [03/Sep/2026:11:00:02 +0000] "POST /api/v1/auth/login HTTP/1.1" 401 256 "-" "Python-requests/2.28" 45
203.0.113.45 - - [03/Sep/2026:11:00:03 +0000] "POST /api/v1/auth/login HTTP/1.1" 401 256 "-" "Python-requests/2.28" 48
203.0.113.45 - - [03/Sep/2026:11:00:04 +0000] "POST /api/v1/auth/login HTTP/1.1" 401 256 "-" "Python-requests/2.28" 42
203.0.113.45 - - [03/Sep/2026:11:00:05 +0000] "POST /api/v1/auth/login HTTP/1.1" 401 256 "-" "Python-requests/2.28" 50
203.0.113.45 - - [03/Sep/2026:11:00:06 +0000] "POST /api/v1/auth/login HTTP/1.1" 401 256 "-" "Python-requests/2.28" 47
203.0.113.45 - - [03/Sep/2026:11:00:07 +0000] "POST /api/v1/auth/login HTTP/1.1" 401 256 "-" "Python-requests/2.28" 49
203.0.113.45 - - [03/Sep/2026:11:00:08 +0000] "POST /api/v1/auth/login HTTP/1.1" 403 256 "-" "Python-requests/2.28" 52
192.168.1.55 - - [03/Sep/2026:11:00:10 +0000] "GET /dashboard HTTP/1.1" 200 6144 "-" "Mozilla/5.0" 25
198.51.100.22 - - [03/Sep/2026:11:00:12 +0000] "GET /admin/auth HTTP/1.1" 401 180 "-" "Hydra/9.2" 15
198.51.100.22 - - [03/Sep/2026:11:00:13 +0000] "GET /admin/auth HTTP/1.1" 401 180 "-" "Hydra/9.2" 16
198.51.100.22 - - [03/Sep/2026:11:00:14 +0000] "GET /admin/auth HTTP/1.1" 401 180 "-" "Hydra/9.2" 14
198.51.100.22 - - [03/Sep/2026:11:00:15 +0000] "GET /admin/auth HTTP/1.1" 401 180 "-" "Hydra/9.2" 17
198.51.100.22 - - [03/Sep/2026:11:00:16 +0000] "GET /admin/auth HTTP/1.1" 401 180 "-" "Hydra/9.2" 18
198.51.100.22 - - [03/Sep/2026:11:00:17 +0000] "GET /admin/auth HTTP/1.1" 401 180 "-" "Hydra/9.2" 15
198.51.100.99 - - [03/Sep/2026:11:00:20 +0000] "GET /wp-admin/login.php HTTP/1.1" 404 120 "-" "Nikto/2.1" 30
198.51.100.99 - - [03/Sep/2026:11:00:21 +0000] "GET /.env HTTP/1.1" 404 120 "-" "Nikto/2.1" 25
198.51.100.99 - - [03/Sep/2026:11:00:22 +0000] "GET /phpmyadmin/index.php HTTP/1.1" 404 120 "-" "Nikto/2.1" 22
